country,province,area_id,latitude,longitude,population,lockdown,colour
,,1,40,0,7774151103,,#000000
Afghanistan,,2,33.93911,67.709953,32225560,,#004f2b
Albania,,3,41.1533,20.1683,2845955,,#283823
Algeria,,4,28.0339,1.6596,43000000,,#b76e79
Andorra,,5,42.5063,1.5218,77543,,#f2ccc2
Angola,,6,-11.2027,17.8739,31127674,,#f2ccc2
Antigua and Barbuda,,7,17.0608,-61.7964,96453,,#c2a4c2
Argentina,,8,-38.4161,-63.6167,44938712,,#011c3b
Armenia,,9,40.0691,45.0382,2957500,,#8400ff
Australia,Australian Capital Territory,10,-35.4735,149.0124,426709,,#ff8f43
Australia,New South Wales,11,-33.8688,151.2093,809952,,#ff9797
Australia,Northern Territory,12,-12.4634,130.8456,245869,,#de2f51
Australia,Queensland,13,-27.4698,153.0251,1851736,,#42284b
Australia,South Australia,14,-34.9285,138.6007,1044353,,#779c74
Australia,Tasmania,15,-42.8821,147.3272,90758,,#00ffab
Australia,Victoria,16,-37.8136,144.9631,237657,,#244c66
Australia,Western Australia,17,-31.9505,115.8605,2642753,,#204c39
Australia,,18,-25.0,133.0,25660195,,#295f48
Austria,,19,47.5162,14.5501,8902600,,#18392b
Azerbaijan,,20,40.1431,47.5769,10067108,,#702963
Bahamas,,21,25.025885,-78.035889,385340,,#00ecff
Bahrain,,22,26.0275,50.55,1543300,,#a9eede
Bangladesh,,23,23.685,90.3563,168343790,,#a78cde
Barbados,,24,13.1939,-59.5432,287025,,#ffd700
Belarus,,25,53.7098,27.9534,9413446,,#bc0c1a
Belgium,,26,50.8333,4.469936,11524454,2020-03-18,#ff4e12
Belize,,27,17.1899,-88.4976,408487,,#104e8b
Benin,,28,9.3077,2.3158,11733059,,#444952
Bhutan,,29,27.5142,90.4336,741672,,#c4b49a
Bolivia,,30,-16.2902,-63.5887,11469896,,#29105a
Bosnia and Herzegovina,,31,43.9159,17.6791,3301000,,#076d9f
Botswana,,32,-22.3285,24.6849,2351625,,#c0c0c0
Brazil,,33,-14.235,-51.9253,211314648,,#cec8c1
Brunei,,34,4.5353,114.7277,442400,,#ebe20a
Bulgaria,,35,42.7339,25.4858,7000039,,#03e0a0
Burkina Faso,,36,12.2383,-1.5616,20870060,,#ffce00
Burundi,,37,-3.3731,29.9189,11890781,,#98ff98
Cabo Verde,,38,16.5388,-23.0418,550483,,#b23c4e
Cambodia,,39,11.55,104.9167,15288489,,#b76e79
Cameroon,,40,3.848,11.5021,26545864,,#ca9502
Canada,Alberta,41,53.9333,-116.5765,4413146,,#8e9088
Canada,British Columbia,42,53.7267,-127.6476,5110917,,#595762
Canada,Manitoba,43,53.7609,-98.8139,1377517,,#8a8890
Canada,New Brunswick,44,46.5653,-66.4619,779993,,#004f2b
Canada,Newfoundland and Labrador,45,53.1355,-57.6604,521365,,#283823
Canada,Northwest Territories,46,64.8255,-124.8457,44904,,#b76e79
Canada,Nova Scotia,47,44.682,-63.7443,977457,,#f2ccc2
Canada,Ontario,48,51.2538,-85.3232,14711827,,#f2ccc2
Canada,Prince Edward Island,49,46.5107,-63.4168,158158,,#c2a4c2
Canada,Quebec,50,52.9399,-73.5491,8537674,,#011c3b
Canada,Saskatchewan,51,52.9399,-106.4509,1181666,,#8400ff
Canada,Yukon,52,64.2823,-135.0,41078,,#ff8f43
Canada,,53,60.001,-95.001,37973245,,#ff9797
Central African Republic,,54,6.6111,20.9394,5496011,,#de2f51
Chad,,55,15.4542,18.7322,15692969,,#42284b
Chile,,56,-35.6751,-71.543,19107216,,#779c74
China,Anhui,57,31.8257,117.2264,59500510,,#00ffab
China,Beijing,58,40.1824,116.4142,19612368,,#244c66
China,Chongqing,59,30.0572,107.874,28846170,,#204c39
China,Fujian,60,26.0789,117.9874,36894216,,#295f48
China,Gansu,61,37.8099,101.0583,25575254,,#18392b
China,Guangdong,62,23.3417,113.4244,104303132,,#702963
China,Guangxi,63,23.8298,108.7881,46026629,,#00ecff
China,Guizhou,64,26.8154,106.8748,34746468,,#a9eede
China,Hainan,65,19.1959,109.7453,9171300,,#a78cde
China,Hebei,66,39.549,116.1306,71854202,,#ffd700
China,Heilongjiang,67,47.862,127.7615,38312224,,#bc0c1a
China,Henan,68,33.882,113.614,94023567,,#ee2c2c
China,Hong Kong,69,22.3,114.2,7061200,,#104e8b
China,Hubei,70,30.9756,112.2707,57237740,,#444952
China,Hunan,71,27.6104,111.7088,65683722,,#c4b49a
China,Inner Mongolia,72,44.0935,113.9448,24706321,,#29105a
China,Jiangsu,73,32.9711,119.455,78659903,,#076d9f
China,Jiangxi,74,27.614,115.7221,44567475,,#c0c0c0
China,Jilin,75,43.6661,126.1923,27462297,,#cec8c1
China,Liaoning,76,41.2956,122.6085,43746323,,#ebe20a
China,Macau,77,22.1667,113.55,552300,,#03e0a0
China,Ningxia,78,37.2692,106.1655,6301350,,#ffce00
China,Qinghai,79,35.7452,95.9956,5626722,,#98ff98
China,Shaanxi,80,35.1917,108.8701,37327378,,#b23c4e
China,Shandong,81,36.3427,118.1498,95793065,,#b76e79
China,Shanghai,82,31.202,121.4491,23019148,,#ca9502
China,Shanxi,83,37.5777,112.2922,35712111,,#8e9088
China,Sichuan,84,30.6171,102.7103,80418200,,#595762
China,Tianjin,85,39.3054,117.323,12938224,,#8a8890
China,Tibet,86,31.6927,88.0924,3002166,,#004f2b
China,Xinjiang,87,41.1129,85.2401,21813334,,#283823
China,Yunnan,88,24.974,101.487,45966239,,#b76e79
China,Zhejiang,89,29.1832,120.0934,54426891,,#f2ccc2
China,,90,30.5928,114.3055,1401957560,,#f2ccc2
Colombia,,91,4.5709,-74.2973,49395678,,#c2a4c2
Congo (Brazzaville),,92,-4.2634,15.2832,91931000,,#011c3b
Congo (Kinshasa),,93,-4.322447,15.307045,5244359,,#8400ff
Costa Rica,,94,9.7489,-83.7534,5058007,,#ff8f43
Cote d'Ivoire,,95,7.54,-5.5471,25823071,,#ff9797
Croatia,,96,45.1,15.2,4076246,,#de2f51
Cuba,,97,21.521757,-77.78116700000000,11209628,,#42284b
Cyprus,,98,35.1264,33.4299,875900,,#779c74
Czechia,,99,49.8175,15.473,10693939,,#00ffab
Denmark,Faroe Islands,100,61.8926,-6.9118,52124,,#244c66
Denmark,Greenland,101,71.7069,-42.6043,56081,,#204c39
Denmark,,102,56.0,10.0,5822763,,#295f48
Djibouti,,103,11.8251,42.5903,1078373,,#18392b
Dominica,,104,15.415,-61.371,71808,,#702963
Dominican Republic,,105,18.7357,-70.1627,10358320,,#00ecff
Ecuador,,106,-1.8312,-78.1834,17453344,,#a9eede
Egypt,,107,26.820553,30.802498,100176928,,#a78cde
El Salvador,,108,13.7942,-88.8965,6486201,,#ffd700
Equatorial Guinea,,109,1.6508,10.2679,1358276,,#bc0c1a
Eritrea,,110,15.1794,39.7823,3497117,,#ee2c2c
Estonia,,111,58.5953,25.0136,1328360,,#104e8b
Eswatini,,112,-26.5225,31.4659,1093238,,#444952
Ethiopia,,113,9.145,40.4897,98665000,,#c4b49a
Fiji,,114,-17.7134,178.065,884887,,#29105a
Finland,,115,61.9241,25.7482,5527573,,#076d9f
France,French Guiana,116,4.0,-53.0,268700,,#c0c0c0
France,French Polynesia,117,-17.6797,-149.4068,275918,,#cec8c1
France,Guadeloupe,118,16.265,-61.551,390253,,#ebe20a
France,Martinique,119,14.6415,-61.0242,372594,,#03e0a0
France,Mayotte,120,-12.8275,45.166244,256518,,#ffce00
France,New Caledonia,121,-20.904305,165.618042,282200,,#98ff98
France,Reunion,122,-21.1151,55.5364,853659,,#b23c4e
France,Saint Barthelemy,123,17.9,-62.8333,9793,,#b76e79
France,St Martin,124,18.0708,-63.0501,35746,,#ca9502
France,,125,46.2276,2.2137,67076000,2020-03-17,#002395
Gabon,,126,-0.8037,11.6094,2172579,,#595762
Gambia,,127,13.4432,-15.3101,2347706,,#8a8890
Georgia,,128,42.3154,43.3569,3723464,,#004f2b
Germany,,129,51.1657,10.4515,83149300,,#000000
Ghana,,130,7.9465,-1.0232,30280811,,#b76e79
Greece,,131,39.0742,21.8243,10724599,,#f2ccc2
Grenada,,132,12.1165,-61.679,112003,,#f2ccc2
Guatemala,,133,15.7835,-90.2308,16604026,,#c2a4c2
Guinea,,134,9.9456,-9.6966,12218357,,#011c3b
Guinea-Bissau,,135,11.8037,-15.1804,1604528,,#8400ff
Guyana,,136,4.860416,-58.93018,782766,,#ff8f43
Haiti,,137,18.9712,-72.2852,11577779,,#ff9797
Holy See,,138,41.9029,12.4534,800,,#de2f51
Honduras,,139,15.2,-86.2419,9158345,,#42284b
Hungary,,140,47.1625,19.5033,9772756,,#779c74
Iceland,,141,64.9631,-19.0208,364260,,#00ffab
India,,142,20.593684,78.96288,1360335713,2020-03-25,#244c66
Indonesia,,143,-0.7893,113.9213,266911900,,#204c39
Iran,,144,32.427908,53.68804600000000,83317423,,#239f40
Iraq,,145,33.223191,43.679291,39127900,,#18392b
Ireland,,146,53.1424,-7.6921,4921500,,#702963
Israel,,147,31.046051,34.851612,9177750,,#00ecff
Italy,,148,41.8719,12.5674,60243406,2020-03-09,#009246
Jamaica,,149,18.1096,-77.2975,2726667,,#a78cde
Japan,,150,36.204824,138.252924,125950000,,#ffd700
Jordan,,151,31.24,36.51,10645776,,#bc0c1a
Kazakhstan,,152,48.0196,66.9237,18671392,,#ee2c2c
Kenya,,153,-0.0236,37.9062,47564296,,#104e8b
Kosovo,,154,42.602636,20.902977,1795666,,#444952
Kuwait,,155,29.31166,47.481766,4420110,,#c4b49a
Kyrgyzstan,,156,41.20438,74.766098,6523500,,#29105a
Laos,,157,19.85627,102.495496,7123205,,#076d9f
Latvia,,158,56.8796,24.6032,1906800,,#c0c0c0
Lebanon,,159,33.8547,35.8623,6825442,,#cec8c1
Liberia,,160,6.428055,-9.429499,4475353,,#ebe20a
Libya,,161,26.3351,17.228331,6871287,,#03e0a0
Liechtenstein,,162,47.14,9.55,38749,,#ffce00
Lithuania,,163,55.1694,23.8813,2793471,,#98ff98
Luxembourg,,164,49.8153,6.1296,613894,,#b23c4e
Madagascar,,165,-18.766947,46.869107,25680342,,#b76e79
